100	500
n000001	288	242
n000009	71	113
n000029	135	225
n000040	150	175
n000078	318	94
n000082	315	39
n000106	31	181
n000129	574	72
n000148	163	349
n000149	240	290
n000178	47	29
n000259	27	144
n000284	210	278
n000363	186	260
n000394	3	60
n000410	180	178
n000452	100	82
n000480	195	130
n000527	10	303
n000596	127	41
n000624	216	90
n000654	57	49
n000658	152	8
n000659	491	321
n000667	430	284
n000689	398	172
n000706	143	203
n000736	368	33
n000740	181	200
n000746	310	33
n000774	27	129
n000775	60	102
n000785	44	446
n000836	31	31
n000838	10	2
n000854	18	309
n000912	27	128
n000928	95	250
n000945	118	163
n000950	78	189
n000958	349	298
n000998	227	43
n001021	191	215
n001059	78	129
n001125	54	49
n001127	1	161
n001146	278	102
n001153	53	28
n001156	290	162
n001174	124	26
n001190	99	334
n001197	37	177
n001199	2	56
n001211	235	224
n001242	526	535
n001256	248	116
n001277	45	106
n001291	3	397
n001293	260	69
n001296	219	22
n001299	72	229
n001302	137	230
n001303	6	218
n001304	54	171
n001337	201	130
n001341	25	17
n001368	34	197
n001401	188	334
n001418	41	305
n001439	293	253
n001446	180	209
n001467	19	14
n001485	260	111
n001576	104	110
n001650	201	60
n001655	35	231
n001672	228	229
n001683	146	210
n001687	193	106
n001708	429	383
n001710	187	134
n001781	112	9
n001811	235	212
n001816	95	51
n001817	99	37
n001830	445	181
n001836	129	171
n001838	19	97
n001850	2	49
n001857	273	35
n001878	568	636
n001898	157	204
n001923	68	140
n001934	100	148
n001935	48	155
n001956	2	214
n001976	167	156
n002009	77	79
n002024	51	311
n002080	3	181
n002081	95	278
n002082	51	30
n002093	404	12
n002106	289	359
n002109	148	139
n002153	266	252
n002158	114	158
n002166	61	45
n002167	3	215
n002216	72	299
n002223	195	240
n002245	48	35
n002257	1	90
n002258	106	182
n002263	319	347
n002267	368	314
n002268	139	21
n002282	255	49
n002284	202	180
n002309	74	152
n002329	240	103
n002351	95	114
n002372	126	12
n002381	106	34
n002384	138	176
n002389	305	291
n002414	104	22
n002421	119	153
n002474	325	284
n002475	133	182
n002503	32	356
n002517	352	106
n002556	113	28
n002561	13	173
n002574	415	326
n002581	313	390
n002596	143	136
n002604	132	98
n002647	371	234
n002659	188	221
n002664	36	137
n002669	135	153
n002681	148	163
n002684	431	208
n002703	121	178
n002715	76	91
n002743	113	258
n002749	295	73
n002761	88	107
n002763	209	224
n002770	177	269
n002773	130	114
n002775	78	219
n002803	97	295
n002838	34	103
n002840	139	95
n002855	213	163
n002857	219	312
n002869	86	138
n002873	22	166
n002878	215	370
n002880	85	482
n002884	230	50
n002889	184	66
n002891	104	35
n002894	293	50
n003001	482	166
n003009	193	23
n003079	128	155
n003092	182	204
n003093	183	176
n003104	156	168
n003115	174	283
n003134	140	46
n003140	53	298
n003205	297	203
n003215	121	20
n003217	46	305
n003258	231	195
n003277	155	188
n003288	59	114
n003298	42	80
n003356	168	13
n003379	47	100
n003415	143	25
n003430	154	50
n003436	90	115
n003461	376	44
n003468	108	152
n003490	36	309
n003513	26	52
n003540	198	135
n003554	214	254
n003570	353	282
n003606	248	280
n003635	263	202
n003653	299	70
n003675	101	248
n003725	134	98
n003728	338	196
n003775	266	243
n003786	76	240
n003836	316	26
n003873	79	197
n003881	226	72
n003894	44	407
n003896	406	164
n003917	233	225
n003958	59	3
n004007	90	35
n004050	445	500
n004064	14	193
n004068	115	24
n004070	97	108
n004078	186	132
n004085	5	296
n004123	220	7
n004157	73	240
n004180	244	63
n004208	52	32
n004233	145	228
n004239	196	14
n004240	203	127
n004243	353	261
n004281	45	187
n004333	62	191
n004338	233	413
n004353	308	103
n004357	98	300
n004366	193	122
n004372	222	71
n004380	3	142
n004387	4	97
n004394	134	215
n004411	249	104
n004424	271	142
n004440	163	102
n004449	196	310
n004461	177	13
n004469	41	28
n004482	220	139
n004486	41	109
n004555	176	166
n004563	129	674
n004580	89	54
n004586	51	476
n004588	303	297
n004634	111	33
n004635	98	13
n004652	199	257
n004658	122	202
n004661	366	130
n004662	199	54
n004663	100	38
n004678	203	146
n004679	193	308
n004709	308	490
n004712	128	371
n004719	296	58
n004738	388	435
n004743	512	488
n004756	337	267
n004771	393	384
n004788	163	106
n004793	38	43
n004798	15	47
n004801	32	134
n004812	274	176
n004813	268	182
n004826	492	456
n004850	245	248
n004885	115	188
n004891	177	10
n004898	193	178
n004905	88	304
n004911	174	93
n004915	139	279
n004925	29	113
n004945	314	47
n004999	25	77
